Card Header,List Group Item,Link,Code Snippet
Accordion,.accordion-body,https://bootstrapshuffle.com/classes/accordion/accordion-body,
Accordion,.accordion-body,https://bootstrapshuffle.com/classes/accordion/accordion-body,"<div class=""accordion"" id=""accordionExample"">
        <div class=""accordion-item"">
            <h2 class=""accordion-header"" id=""headingOne"">
                <button class=""accordion-button collapsed"" type=""button"" data-bs-toggle=""collapse"" data-bs-target=""#accordionCollapseOne"" aria-expanded=""false"" aria-controls=""accordionCollapseOne"">
                Lorem ipsum dolor sit amet consectetur.
                </button>
            </h2>
            <div id=""accordionCollapseOne"" class=""accordion-collapse collapse"" aria-labelledby=""headingOne"" data-bs-parent=""#accordionExample"">
                <div class=""accordion-body"">Lorem ipsum dolor sit amet consectetur adipisicing elit. Illo quam dolore ea pariatur veniam rem voluptatibus harum magni reiciendis maiores!</div>
            </div>
        </div>
        <div class=""accordion-item"">
            <h2 class=""accordion-header"" id=""headingTwo"">
                <button class=""accordion-button collapsed"" type=""button"" data-bs-toggle=""collapse"" data-bs-target=""#accordionCollapseTwo"" aria-expanded=""false"" aria-controls=""accordionCollapseTwo"">
                Lorem ipsum dolor, sit amet consectetur adipisicing.
                </button>
            </h2>
            <div id=""accordionCollapseTwo"" class=""accordion-collapse collapse"" aria-labelledby=""headingTwo"" data-bs-parent=""#accordionExample"">
                <div class=""accordion-body"">Lorem ipsum dolor sit amet consectetur adipisicing elit. Enim ea nam exercitationem alias ad, repellendus eligendi ipsa rerum voluptatum aperiam.</div>
            </div>
        </div>
        <div class=""accordion-item"">
            <h2 class=""accordion-header"" id=""headingThree"">
                <button class=""accordion-button collapsed"" type=""button"" data-bs-toggle=""collapse"" data-bs-target=""#accordionCollapseThree"" aria-expanded=""false"" aria-controls=""accordionCollapseThree"">
                Lorem ipsum dolor sit.
                </button>
            </h2>
            <div id=""accordionCollapseThree"" class=""accordion-collapse collapse"" aria-labelledby=""headingThree"" data-bs-parent=""#accordishExample"">
                <div class=""accordion-body"">Lorem ipsum dolor sit amet consectetur, adipisicing elit. Possimus asperiores quidem ad quis veritatis in nulla rerum pariatur dolorum unde.</div>
            </div>
        </div>
    </div>
Copy code"
Accordion,.accordion-body,https://bootstrapshuffle.com/classes/accordion/accordion-body,"<div class=""accordion"" id=""accordionExample"">
        <div class=""accordion-item"">
            <h2 class=""accordion-header"" id=""headingOne"">
                <button class=""accordion-button collapsed"" type=""button"" data-bs-toggle=""collapse"" data-bs-target=""#accordionCollapseOne"" aria-expanded=""false"" aria-controls=""accordionCollapseOne"">
                Lorem ipsum dolor sit amet consectetur.
                </button>
            </h2>
            <div id=""accordionCollapseOne"" class=""accordion-collapse collapse"" aria-labelledby=""headingOne"" data-bs-parent=""#accordionExample"">
                <div class=""accordion-body"">Lorem ipsum dolor sit amet consectetur adipisicing elit. Illo quam dolore ea pariatur veniam rem voluptatibus harum magni reiciendis maiores!</div>
            </div>
        </div>
        <div class=""accordion-item"">
            <h2 class=""accordion-header"" id=""headingTwo"">
                <button class=""accordion-button collapsed"" type=""button"" data-bs-toggle=""collapse"" data-bs-target=""#accordionCollapseTwo"" aria-expanded=""false"" aria-controls=""accordionCollapseTwo"">
                Lorem ipsum dolor, sit amet consectetur adipisicing.
                </button>
            </h2>
            <div id=""accordionCollapseTwo"" class=""accordion-collapse collapse"" aria-labelledby=""headingTwo"" data-bs-parent=""#accordionExample"">
                <div class=""accordion-body"">Lorem ipsum dolor sit amet consectetur adipisicing elit. Enim ea nam exercitationem alias ad, repellendus eligendi ipsa rerum voluptatum aperiam.</div>
            </div>
        </div>
        <div class=""accordion-item"">
            <h2 class=""accordion-header"" id=""headingThree"">
                <button class=""accordion-button collapsed"" type=""button"" data-bs-toggle=""collapse"" data-bs-target=""#accordionCollapseThree"" aria-expanded=""false"" aria-controls=""accordionCollapseThree"">
                Lorem ipsum dolor sit.
                </button>
            </h2>
            <div id=""accordionCollapseThree"" class=""accordion-collapse collapse"" aria-labelledby=""headingThree"" data-bs-parent=""#accordishExample"">
                <div class=""accordion-body"">Lorem ipsum dolor sit amet consectetur, adipisicing elit. Possimus asperiores quidem ad quis veritatis in nulla rerum pariatur dolorum unde.</div>
            </div>
        </div>
    </div>"
Accordion,.accordion-button,https://bootstrapshuffle.com/classes/accordion/accordion-button,
Accordion,.accordion-button,https://bootstrapshuffle.com/classes/accordion/accordion-button,"<div class=""accordion accordion-flush"" id=""accordionExample"">
        <div class=""accordion-item"">
            <h2 class=""accordion-header"" id=""headingOne"">
                <button class=""accordion-button collapsed"" type=""button"" data-bs-toggle=""collapse"" data-bs-target=""#accordionCollapseOne"" aria-expanded=""false"" aria-controls=""accordionCollapseOne"">
                Lorem ipsum dolor sit amet consectetur.
                </button>
            </h2>
        </div>
    </div>"
Accordion,.accordion-button,https://bootstrapshuffle.com/classes/accordion/accordion-button,"<div class=""accordion accordion-flush"" id=""accordionExample"">
        <div class=""accordion-item"">
            <h2 class=""accordion-header"" id=""headingOne"">
                <button class=""accordion-button collapsed"" type=""button"" data-bs-toggle=""collapse"" data-bs-target=""#accordionCollapseOne"" aria-expanded=""false"" aria-controls=""accordionCollapseOne"">
                Lorem ipsum dolor sit amet consectetur.
                </button>
            </h2>
        </div>
    </div>
Copy code"
Accordion,.accordion-collapse,https://bootstrapshuffle.com/classes/accordion/accordion-collapse,
Accordion,.accordion-collapse,https://bootstrapshuffle.com/classes/accordion/accordion-collapse,"<div class=""accordion"" id=""accordionExample"">
        <div class=""accordion-item"">
            <h2 class=""accordion-header"" id=""headingOne"">
                <button class=""accordion-button collapsed"" type=""button"" data-bs-toggle=""collapse"" data-bs-target=""#accordionCollapseOne"" aria-expanded=""false"" aria-controls=""accordionCollapseOne"">
                Lorem ipsum dolor sit amet consectetur.
                </button>
            </h2>
            <div id=""accordionCollapseOne"" class=""accordion-collapse collapse"" aria-labelledby=""headingOne"" data-bs-parent=""#accordionExample"">
                <div class=""accordion-body"">Lorem ipsum dolor sit amet consectetur adipisicing elit. Illo quam dolore ea pariatur veniam rem voluptatibus harum magni reiciendis maiores!</div>
            </div>
        </div>
        <div class=""accordion-item"">
            <h2 class=""accordion-header"" id=""headingTwo"">
                <button class=""accordion-button collapsed"" type=""button"" data-bs-toggle=""collapse"" data-bs-target=""#accordionCollapseTwo"" aria-expanded=""false"" aria-controls=""accordionCollapseTwo"">
                Lorem ipsum dolor, sit amet consectetur adipisicing.
                </button>
            </h2>
            <div id=""accordionCollapseTwo"" class=""accordion-collapse collapse"" aria-labelledby=""headingTwo"" data-bs-parent=""#accordionExample"">
                <div class=""accordion-body"">Lorem ipsum dolor sit amet consectetur adipisicing elit. Enim ea nam exercitationem alias ad, repellendus eligendi ipsa rerum voluptatum aperiam.</div>
            </div>
        </div>
        <div class=""accordion-item"">
            <h2 class=""accordion-header"" id=""headingThree"">
                <button class=""accordion-button collapsed"" type=""button"" data-bs-toggle=""collapse"" data-bs-target=""#accordionCollapseThree"" aria-expanded=""false"" aria-controls=""accordionCollapseThree"">
                Lorem ipsum dolor sit.
                </button>
            </h2>
            <div id=""accordionCollapseThree"" class=""accordion-collapse collapse"" aria-labelledby=""headingThree"" data-bs-parent=""#accordishExample"">
                <div class=""accordion-body"">Lorem ipsum dolor sit amet consectetur, adipisicing elit. Possimus asperiores quidem ad quis veritatis in nulla rerum pariatur dolorum unde.</div>
            </div>
        </div>
    </div>
Copy code"
Accordion,.accordion-collapse,https://bootstrapshuffle.com/classes/accordion/accordion-collapse,"<div class=""accordion"" id=""accordionExample"">
        <div class=""accordion-item"">
            <h2 class=""accordion-header"" id=""headingOne"">
                <button class=""accordion-button collapsed"" type=""button"" data-bs-toggle=""collapse"" data-bs-target=""#accordionCollapseOne"" aria-expanded=""false"" aria-controls=""accordionCollapseOne"">
                Lorem ipsum dolor sit amet consectetur.
                </button>
            </h2>
            <div id=""accordionCollapseOne"" class=""accordion-collapse collapse"" aria-labelledby=""headingOne"" data-bs-parent=""#accordionExample"">
                <div class=""accordion-body"">Lorem ipsum dolor sit amet consectetur adipisicing elit. Illo quam dolore ea pariatur veniam rem voluptatibus harum magni reiciendis maiores!</div>
            </div>
        </div>
        <div class=""accordion-item"">
            <h2 class=""accordion-header"" id=""headingTwo"">
                <button class=""accordion-button collapsed"" type=""button"" data-bs-toggle=""collapse"" data-bs-target=""#accordionCollapseTwo"" aria-expanded=""false"" aria-controls=""accordionCollapseTwo"">
                Lorem ipsum dolor, sit amet consectetur adipisicing.
                </button>
            </h2>
            <div id=""accordionCollapseTwo"" class=""accordion-collapse collapse"" aria-labelledby=""headingTwo"" data-bs-parent=""#accordionExample"">
                <div class=""accordion-body"">Lorem ipsum dolor sit amet consectetur adipisicing elit. Enim ea nam exercitationem alias ad, repellendus eligendi ipsa rerum voluptatum aperiam.</div>
            </div>
        </div>
        <div class=""accordion-item"">
            <h2 class=""accordion-header"" id=""headingThree"">
                <button class=""accordion-button collapsed"" type=""button"" data-bs-toggle=""collapse"" data-bs-target=""#accordionCollapseThree"" aria-expanded=""false"" aria-controls=""accordionCollapseThree"">
                Lorem ipsum dolor sit.
                </button>
            </h2>
            <div id=""accordionCollapseThree"" class=""accordion-collapse collapse"" aria-labelledby=""headingThree"" data-bs-parent=""#accordishExample"">
                <div class=""accordion-body"">Lorem ipsum dolor sit amet consectetur, adipisicing elit. Possimus asperiores quidem ad quis veritatis in nulla rerum pariatur dolorum unde.</div>
            </div>
        </div>
    </div>"
Accordion,.accordion-flush,https://bootstrapshuffle.com/classes/accordion/accordion-flush,
